Player ID,Player Name,pScore,Maps Played
7080063,RandomeLoL,1.8194432215393452,5/5
11805458,StayHighKids,1.768787981750447,5/5
8553078,Guldakh,1.7255524843811716,5/5
5390121,Piggy,1.5991289279336607,6/6
11517895,LivelyPeninsula,1.56747580150055,5/5
7751516,zero2snow,1.5220058222652306,8/8
13712190,chxu,1.483589467627699,8/8
4848294,arccat,1.3957230821268864,5/5
11493286,-SoraIro-,1.3306357864476033,5/8
10804091,GDMem,1.3290040229442717,4/6
10502375,HolySteven,1.3266240399475573,8/8
12723207,twitch chat,1.307718413924286,5/5
12123265,[KN]Puddles,1.2988467864164779,4/5
8798383,Crescendo PiaNo,1.2461743960503588,7/7
5066305,ImperialTrinity,1.1722879563544215,8/8
18496063,tastydumpl1ng,1.117818162512273,7/6
11392859,erase,1.1113079739678438,5/5
6363008,arpia97,1.0410196470644408,3/6
15492763,SoTA,1.0188883569262275,5/5
13857986,Klarion,0.9440857783703878,7/7
12894120,Lazereed,0.920138134640053,3/5
7958845,Orca-,0.9139642381861378,6/6
10770925,Silkeee,0.8403915487768865,2/8
3662205,Player0,0.8198822258539786,7/6
11306351,Akatsumi Chan,0.7527047287113485,2/5
12989257,Slowpoke1499,0.7362095636172175,3/8
16045921,RYU_L,0.7181406059941575,6/8
17965571,Schmutz,0.7164644524061761,5/5
4881508,Comet Popcorn,0.6828892438143618,7/7
10145801,Netr0,0.5649867333780896,1/8
9258564,ChurroChef,0.5591775227360658,7/7
8384260,Ecal,0.5432530310141299,7/8
13009844,whiskr_,0.4833694023810191,5/6
9620690,AwsumKyl3,0.4515936751687597,7/6
11554294,Game_-,0.37231850928139026,2/6
15889321,ez2on_choi,0.2556117697951299,2/6
6349821,cheese salad,0.236237145422268,8/8
10274043,BringoBrango,0.21593484994268627,4/6
10010130,[KN]Lordieee,0.1562849752188021,1/5
10540656,wog_hikes,0.016368499647351258,5/5
