user_id,map_id,score,match_id
4932319,1088936,940963,102122568
10540515,1088936,966322,102122568
4932319,3498128,972849,102122568
10540515,3498128,997540,102122568
4932319,2064918,964650,102122568
10540515,2064918,960631,102122568
4932319,2493320,947409,102122568
10540515,2493320,981335,102122568
17851478,913882,970485,102127806
17400577,913882,968819,102127806
17851478,2493320,981418,102127806
17400577,2493320,984399,102127806
17851478,2064918,978461,102127806
17400577,2064918,970628,102127806
17851478,1190462,960770,102127806
17400577,1190462,973125,102127806
17851478,1088936,976449,102127806
17400577,1088936,936850,102127806
18790026,2334914,960350,102131078
8911771,2334914,988087,102131078
18790026,3498128,981807,102131078
8911771,3498128,992699,102131078
18790026,2493320,932504,102131078
8911771,2493320,974806,102131078
18790026,1088936,950927,102131078
8911771,1088936,973352,102131078
12143152,2493320,961312,102130738
13859109,2493320,949397,102130738
12143152,913882,990248,102130738
13859109,913882,965886,102130738
12143152,1088936,949012,102130738
13859109,1088936,933150,102130738
8243526,2493320,966072,102151359
19330937,2493320,950295,102151359
8243526,2064918,960616,102151359
19330937,2064918,967884,102151359
8243526,3498128,988152,102151359
19330937,3498128,985378,102151359
8243526,913882,981338,102151359
19330937,913882,804645,102151359
8243526,2334914,982048,102151359
19330937,2334914,972281,102151359
21446926,3498128,986464,102152651
15798093,3498128,982551,102152651
21446926,2842360,859825,102152651
15798093,2842360,962560,102152651
21446926,1190462,993004,102152651
15798093,1190462,963027,102152651
21446926,2334914,993518,102152651
15798093,2334914,957737,102152651
21446926,2493320,992326,102152651
15798093,2493320,954068,102152651
14230684,3498128,992614,102154216
15881992,3498128,963615,102154216
14230684,2493320,985280,102154216
15881992,2493320,905136,102154216
24559683,2334914,993148,102156827
8410575,2334914,983525,102156827
24559683,2842360,882416,102156827
8410575,2842360,977974,102156827
24559683,1088936,983366,102156827
8410575,1088936,955620,102156827
24559683,913882,981901,102156827
8410575,913882,984519,102156827
24559683,2064918,985249,102156827
8410575,2064918,961060,102156827
24559683,2448995,977789,102156827
8410575,2448995,964950,102156827
12689667,3498128,996398,102156682
14584195,3498128,962377,102156682
12689667,2334914,994419,102156682
14584195,2334914,841439,102156682
12689667,2064918,991550,102156682
14584195,2064918,895205,102156682
12689667,1088936,977430,102156682
14584195,1088936,834037,102156682
