user_id,username,pp,global_rank
19970192,saragi,20530.5,1
24144271,eiEn_,18831.7,2
10072733,myucchii,18657.6,3
17753122,invadey,17913.2,5
10083439,bojii,17377.8,5
28251667,[Crz]bubu,17325.8,6
26473894,imyeeyee,17077.7,8
17494164,ggeexx1,17068.0,8
15079888,ssrykat,17053.8,9
13878539,ERA Veryi,16974.3,11
13471840,Kureha_,16740.2,11
9781014,Miwiki,16740.1,12
10344857,Naaaad,16652.1,13
32379983,Idontknowwhathi,16566.8,14
11585213,Dystire,16530.1,15
27257033,[EG] nw9,16352.9,16
8534840,DawnX,16255.6,17
18288958,eternalize,16216.2,18
28014801,Pyn,16202.1,19
26690747,aero-,16162.2,20
24548857,Anterex,16138.8,21
27552902,[GB]ParasolTree,16137.6,22
31706494,C0mp1ex_,16104.9,23
7794488,Reshiram,15999.5,24
18342820,Ancuw,15950.7,25
14039549,Bei,15935.7,27
18867523,flowerful,15872.8,27
31743951,Jacky_Lover,15861.8,28
16277321,nyasun,15849.6,29
21906254,abriI,15806.6,30
18309106,rezored,15790.7,31
14066511,nyasunfanboy,15752.5,32
36120676,WOEM2436,15726.0,33
18121419,lyvet,15706.4,34
32785738,Inclemetite,15678.2,35
14009758,TriDoanGaming,15666.1,36
15267478,maykolmejor,15651.3,37
24756728,[Crz]Sakuya,15637.4,38
23248427,-Veloce-,15631.8,39
10817494,[Crz]Nickname,15627.4,40
13385865,Reyi,15626.9,41
33801604,Fuyuneel,15623.8,42
33469995,Correspondence,15615.2,43
17152485,dendro_,15609.2,44
13047982,Chara Undertale,15600.2,45
22703533,Polygone,15595.0,46
24026784,achii77,15592.2,48
12572401,kzorii,15574.4,48
19113292,[LS]Resolent,15565.0,49
23890527,[Crz]ChenXi,15543.1,50
18563362,Concepte,15540.4,51
12046267,--Pavin--,15539.2,51
19686164,Seroni,15511.0,53
11734610,Nepijin,15486.6,54
18043326,Joki_,15455.9,55
12489832,spanner dude,15451.9,56
12452131,gaesol,15444.0,57
25300387,-hakitsu,15443.6,58
11313227,Quotient,15436.7,59
17115114,koshepen,15421.8,60
31956722,KullaiPora,15417.7,62
25586931,yran,15396.0,62
12599154,Toxic Scent,15394.7,63
10745260,jhleetgirl,15390.2,65
13601876,Orost,15376.1,65
23501956,f4fgoodgirlasmr,15337.2,65
19446399,Robeats,15311.0,66
30469374,StirFriedShrimp,15228.9,68
13125084,qancke,15223.1,69
31138498,debuti,15201.7,70
29929002,[MY] VASD,15198.7,71
22674434,noober,15195.1,71
13005943,Majke1,15187.9,73
29024004,Meatloaf,15181.2,73
27655372,kapupa,15160.5,74
31146692,Na2303,15150.8,75
32651686,Pleia_,15139.9,77
17303433,pboo2424,15136.7,77
31041154,Rinsresg,15127.8,79
16734203,instal,15121.8,80
15926730,PeachMarrow,15118.5,81
24446642,Aepq,15116.2,82
23327830,Drippy Meep,15115.1,83
11817838,Brisket Bacon,15114.9,85
17308009,Hello_Son,15114.1,85
21446926,Fier,15114.0,87
10910337,Stellium,15112.8,87
36068985,suwuka,15094.9,88
17258072,Antipole,15094.0,89
32579046,ashurn,15088.3,90
19141228,malza,15087.0,91
36326427,GDNoob25xd,15081.7,92
14196373,Verdon,15076.4,93
15806513,jkzu123,15073.6,94
26253851,Aigisfangirl,15066.3,95
26844936,SomeDumbEtDude,15051.8,96
18766595,Kyuui,15047.1,97
18943504,fefedk,15031.8,98
18267981,revokeww,15029.9,99
36289388,[LS]N1ku2um3,15021.9,100
16420817,PrameeZA000,15007.2,101
32397022,Shiroko_Beiyi,15003.9,102
20277428,Lexpo,14986.7,104
29379793,klobuck,14978.9,104
18111392,minatoaquafan69,14977.1,105
15391485,hsod,14961.2,106
19965357,NLWasTaken,14949.1,107
19141386,Pulsing,14939.3,108
24776314,Plana_,14933.5,109
22825158,[DAN],14929.1,110
28098890,parponger,14908.8,111
