user_id,username,final_rank
8534840,DawnX,1.0
15665805,konkawe,2.0
10072733,myucchii,3.0
17308009,Hello_Son,4.0
11734610,Nepijin,5.0
13385865,Reyi,6.0
12046267,--Pavin--,7.0
11585213,Dystire,8.0
17152485,dendro_,9.0
29379793,klobuck,10.0
23248427,-Veloce-,11.0
36570108,FoaMelt1,12.0
8581031,Poca,13.0
36120676,WOEM2436,14.0
25445118,zKuri,15.0
17668607,[BBC]Senzawa,16.0
27552902,[GB]ParasolTree,17.0
12489832,spanner dude,18.0
10344857,Naaaad,19.0
18121419,lyvet,20.0
20360332,bambi fnf,21.0
18236316,Sawdust Inhaler,22.0
11313227,Quotient,23.0
16407268,_dev_,24.0
11649450,ime,25.0
10083439,bojii,26.0
17258072,Antipole,27.0
21906254,abriI,27.0
19862784,Chicken Sammy,28.0
18867523,flowerful,29.0
13769101,Netroo,30.0
17244618,moths,31.0
15926730,PeachMarrow,32.0
32579046,ashurn,33.0
29929002,[MY] VASD,33.0
33801604,Fuyuneel,34.0
16100800,ICECAKE,35.0
28098890,parponger,36.0
9188975,mae0149,37.0
16191405,jackyjacky607,38.0
25588443,Banned or Unavailable,39.0
24776314,Plana_,40.0
13631923,Banned or Unavailable,41.0
24446642,Aepq,42.0
18271627,grillroasted,43.0
26473894,imyeeyee,44.0
14931745,[LS]Icetify,45.0
14066511,nyasunfanboy,46.0
13390529,-Aishiteru-,47.0
2071008,yz1155,48.0
13347579,LeMarcinho,49.0
18342820,Ancuw,50.0
28014801,Pyn,50.0
14009758,TriDoanGaming,51.0
17115114,koshepen,52.0
19141228,malza,53.0
33469995,Correspondence,53.0
15098503,-Lalito898,54.0
16734203,instal,55.0
15763622,Koishi Komeijie,55.0
16277321,nyasun,56.0
11304785,jordan180105,56.0
18309106,rezored,57.0
31743951,Jacky_Lover,58.0
13471840,Kureha_,59.0
18043326,Joki_,60.0
27257033,[EG] nw9,60.0
20496815,4Kenn,61.0
8880797,Naito Mare,62.0
32397022,Shiroko_Beiyi,62.0
10790649,Kalkai,63.0
3262821,[SPNG] Sim0,63.0
11898245,Newbie Noobko,64.0
30243406,unluminated520,65.0
15183087,LiangFenFan,66.0
12452131,gaesol,67.0
20435157,theman234 tonk,68.0
36068985,suwuka,68.0
18766595,Kyuui,69.0
18521083,[Crz]Neri,69.0
10055204,Zoobin4,70.0
6912079,Iseri,71.0
18508394,Tevelkin,72.0
