user_id,map_id,score,match_id
31975052,3012087,995093,114481196
27995062,3012087,982193,114481196
31975052,4664686,985208,114481196
27995062,4664686,972334,114481196
31975052,2944415,999475,114481196
27995062,2944415,994278,114481196
31975052,3409037,999319,114481196
27995062,3409037,971476,114481196
31975052,3102415,998482,114481196
27995062,3102415,986141,114481196
20296778,3012087,994327,114482350
20466182,3012087,995176,114482350
20296778,4664686,993469,114482350
20466182,4664686,985701,114482350
20296778,2944415,991564,114482350
20466182,2944415,990491,114482350
20296778,4661844,994785,114482350
20466182,4661844,992827,114482350
20296778,3409037,997778,114482350
20466182,3409037,994963,114482350
20296778,3102415,995232,114482350
20466182,3102415,992753,114482350
19328562,3012087,992096,114494497
3869951,3012087,996138,114494497
19328562,3675268,987445,114494497
3869951,3675268,990638,114494497
19328562,3409037,992991,114494497
3869951,3409037,997053,114494497
19328562,4661878,987529,114494497
3869951,4661878,989994,114494497
26594580,3409037,996013,114495297
19676705,3409037,994929,114495297
26594580,3012087,994681,114495297
19676705,3012087,997263,114495297
26594580,3102415,992372,114495297
19676705,3102415,990480,114495297
26594580,4661802,979139,114495297
19676705,4661802,987435,114495297
26594580,4661844,992979,114495297
19676705,4661844,991283,114495297
26594580,4661878,980389,114495297
19676705,4661878,976695,114495297
26594580,4664686,992412,114495297
19676705,4664686,992541,114495297
26594580,2952382,984864,114495297
19676705,2952382,972357,114495297
27834299,4664686,996712,114495714
12830719,4664686,993279,114495714
27834299,4661844,973547,114495714
12830719,4661844,989325,114495714
27834299,2944415,995157,114495714
12830719,2944415,991649,114495714
27834299,4661878,959013,114495714
12830719,4661878,986639,114495714
27834299,3012087,997819,114495714
12830719,3012087,994828,114495714
27834299,4661802,973452,114495714
12830719,4661802,989774,114495714
27834299,3102415,995672,114495714
12830719,3102415,986066,114495714
